>>L<<Russian	>>L<<English
Большие Осыпи	Great Rocksides
Большие Тавры	Great Taurus
Большие Шатры	Great Tabernacles
Большой город	City
Большой	Big
Бомбардировка	Bombardment
Боргал	Borgal
Бор-Гуал	Bor-Gual
Бор-Илаорн	Bor-Ylaorn
Бор-Киун	Bor-Ceon
Бор-Лаэн	Bor-Laen
Бор-Наэол	Bor-Naeol
Боровский лес	Borow Wood
Бор-Риад	Bor-Riad
Бор-Туур	Bor-Tuur
Борьба с конкуренцией	Fighting the Competition
Бранн	Brann
Браслет Кузнеца	Blacksmith's Bracelet
Браслет Луны	Moon Bracelet
Браслет Солнца	Sun Bracelet
Браслеты Герскила	Herskil's Bracelet
Браслеты Оинора	Oinor's Bracelet
Братство Друидов	Druid Brotherhood
Братство Ночи	Dark Brotherhood
Братство Орла	Eagle Brotherhood
Братство Света	Brotherhood of Light
Брешь	Breach
Бродячие холмы	Rambling Hills
Бродячий цирк	Traveling Circus
Бродящий-По-Снам	Dreamwalker
Бронебойный выстрел	Armor Piercing Shot
Бронебойный удар	Armorpiercing Strike
Бронзовое кольцо	Bronze Ring
Бронированный наруч	Armored Bracers
Броня Жажды	Armor of Desire
Броня повреждена	Damaged Armor
Бростер	Broster
Бубенцы	Jinglebells
Бугай	Brute
Будет непросто	Not Easy
Будет очень тяжело	Very Hard
Будет тяжело	Hard
Бука	Bugbear
Булава	Mace
Буртианские болота	Burtian Swamps
Бурусье	Bourusland
Бурые леса	Brown Woods
Бырдаш	Byrdash
Бырр-Чаг	Byrr-Chagg
Быстрая замена	Fast Draw
Быстрый бой (F10)	Quick Combat (F10)
В прошлое	Into the Past
В ярости	Furious
Важно!	Important!
Вайшан	Visharn
Валькирия	Valkyrie
Вампир	Vampire
Вампиризм	Vampirism
Варвар	Barbarian
Варварские племена	Barbarian Tribes
Варвары	Barbarian tribe
Василиск	Basilisk
Вассал	Vassal
Ваш отряд	Your Party
Ваш ход	Your Turn
Введите Ваше имя	Enter your name
Ведьмак	Witcher
Ведьмаки	Witcher
Ведьмины топи	Witchbogs
Вековечный лес	Eternal Wood
Великаны	Giants
Великаньи холмы	Giant Hills
Великая Кузня	Great Forge
Великая Орда	Great horde
Великая пирамида	Great Pyramid
Великая пустошь	Great Wasteland
Великий бронник	Epic Platemaker
Великий воин стаи	Great Pack Warrior
Великий демон	Great Demon
Великий инквизитор	Grand Inquisitor
Великий кольчужник	Epic Mailmaker
Великий меч	Great Sword
Великий оружейник	Epic Weaponsmith
Великий плотник	Epic Carpenter
Великий портной	Epic Tailor
Большая деревня	Town
Великий скорняк	Epic Tanner
Великий торговец	Great Merchant
Великий чародей	Epic Enchanter
Великий ювелир	Epic Jeweler
Великое Дерево	Great Tree
Великое Ничто	Great Nothing
Великоземье	Greatlands
Велинар	Velinar
Величайший демон	Archdemon
Венец Рогов	Horned Coronet
Вербовочный пункт	Recruiting Station
Вересковый кряж	Heather Range
Верфь	Shipyard
Верховная Мать	Matron Mother
Верховный друид	Archdruid
Верховный жрец	High Priest
Весёлый Дол	Merry Vale
Веснёвый Посад	Springburg
Ветеран-копейщик	Veteran Spearman
Ветеран-пращник	Veteran Slinger
Ветрова пустошь	Windwaste
Ветхий Двор	Shabby Yard
Ветхий лес	Shabby Wood
Вечное Солнце	Eternal Sun
Вечный Источник	Eternal Spring
Вианта	Vianta
Виверна	Wyvern
Вид границ	Boundary Type
Видящий-Сны	Dreamseer
Винокурня	Winery
Владение жезлом	Wand Firing
Владыка бездны	Lord of Abyss
Владыка фантомов	Lord of phantoms
Владычица эльфов	Elven Mistress
Властелин	Overlord
Внутренний голос	Inner Voice
Вода	Water
Водяницы	Waterline
Воевода	Warlord
Военная академия дроу	Drow War Academy
Военная академия	Military Academy
Военная школа дроу	Drow War School
Военная школа	War School
Военный квартал	Military Quarter
Военный лагерь дроу	Drow Warcamp
Военный лагерь	Warcamp
Вожак	Chieftain
Вождь	Chieftain
Возвести постройку (W)	Construct Building (W)
Возвраты в прошлое	Reversions
Воздушный щит	Air Shield
Возмущены	Indignant
Воин в гарнизоне	Unit in Garrison
Воин дроу	Drow Warrior
Воин Мрака	Warrior of Darkness
Воин Света	Warrior of Light
Воин	Warrior
Война	War
Воинов-ветеранов	Veteran Units
Воины Света	Warriors of Light
Воители	Men of War
Войти в здание (W)	Enter Building (W)
Войти в здание	Enter Building
Волк	Wolf
Волки	Wolves
Волчий клык	Wolf's Fang
Волчьи дебри	Wolfwilds
Волшебная броня	Magic Armor
Волшебная роща	Enchanted Grove
Волшебная стрела	Magic Arrow
Волшебник	Wizard
Волшебное оружие	Magic Weapon
Волшебный дракон	Faerie Dragon
Волшебный клык	Enchanted Fang
Волшебный кристалл	Magic Crystal
Волшебный лес	Magical Forest
Волшебный поток	Magic Stream
Волшебный щит	Magic Shield
Вольное поселение	Free Settlement
Вольные пруды	Freeborn Ponds
Вольный лес	Freeborn Wood
Вонючие топи	Reeking Bogs
Воображаемый убийца	Imaginary Assassin
Воодушевление	Inspiration
Воплощение Воды	Water Elemental
Воплощение Воздуха	Air Elemental
Воплощение Земли	Earth Elemental
Воплощение Огня	Fire Elemental
Воплощения стихий	Elements Incarnate
Вопль Баньши	Banshee's Howl
Вор	Thief
Воровской притон	Den of Thieves
Вороновы степи	Raven Steppes
Вороновье	Ravenside
Воскресить героя	Resurrect Hero
Воскрешение	Resurrection
Восстание нежити  	Undead Uprising
Восстановление нежити	Full Undead Rest
Восстановление сил	Recuperation
Воющие дебри	Howling Wilds
Враги Света	Enemies of Light
Враги	Enemies
Врата Бездны	Gates of Abyss
Врата Хаоса	Chaos Gates
Время действия	Duration
Всадник	Horseman
всегда	always
Всего	Total
Всплеск Хаоса	Chaos Splash
Встречный ветер	Head Wind
Вторжение на осколок	Shard Invasion
Второй круг	Second Circle
Вуагрил	Voigryl
Вулкан	Volcano
Выбор игрока	Player's Choice
Выбор оружия	Choose Weapon
Выбрать войну	Choose War
Выбрать жребий	Cast Lots
Выбрать предмет для обмена	Choose an item to exchange
Выбрать провинцию для обмена	Choose a province to exchange
Выбрать ресурс для обмена	Choose a resource to exchange
Выбросить предметы	Discard Items
Вызвать заклинание (S)	Cast Spell (S)
Вызвать Зарра	Summon Zarr
Вызов адской гончей	Summon Hellhound
Вызов беса	Summon Imp
Вызов виверны	Summon Wyvern
Вызов Владыки бездны	Summon Lord of Abyss
Вызов демона	Summon Demon
Вызов дьявола	Summon Devil
Вызов проклятья	Curse Spell
Вызов существа	Summon Creature
Вызов уязвимости	Vulnerability Spell
Вызов фантома	Summon Phantom
Вызов чёрта	Summon Fiend
Вымпел Дракона	Dragon Pennant
Вымпел Орла	Eagle Pennant
Выносливость	Stamina
Выполнено заданий	Quests Completed
Выполнено	Completed
Выселки	Newsettle
Высокие холмы	High Hills
Высшая сила	Higher Power
Выход	Exit
Вышитый наруч	Embroidered Bracers
Вьюнова пустошь	Loachy Wasteland
Гавион	Gavion
Гадючьи топи	Viper Bogs
Галлюцинации	Hallucinating
Ганетская грязь	Ganet Mud
Гар	Gar
Гарзод	Garzod
Гарнизон (D)	Garrison (D)
Гарнизоны	Garrisons
Гарпия	Harpy
Гаррос освобождён	Garros has been released
Гаррос погиб	Garros has died
Гвардеец	Guardsman
Гвардейская алебарда	Guards Halberd
Гвардейский арбалет	Guards Crossbow
Гвардейский панцирь	Guards Breastplate
Гвардия	Guardsmen
Гворн	Huorn
Гейзер	Geyser
Генерал	General
Гербы	Banners
Герн	Guern
Героев	Heroes
Герои	Heroes
Герой	Hero
Героизм	Heroism
Герскил	Herskil
Гиблые болота	Deadly Swamps
Гиблые дебри	Deadwilds
Гиблые топи	Deadly Bogs
Гигант	Giant
Гигантский орел	Giant Eagle
Гигантский	Colossal
Гидра	Hydra
Гильдия алхимиков	Alchemists Guild
Гильдия архитекторов	Master Builder Guild
Гильдия бойцов	Fighter's Guild
Гильдия возчиков	Drivers Guild
Гильдия воинов	Warriors Guild
Гильдия воров	Thieves Guild
Гильдия геологов	Geologists Guild
Гильдия горняков	Miners Guild
Гильдия дрессировщиков	Handler's Guild
Гильдия звероловов	Swamp Trappers Guild
Гильдия зодчих	Architects Guild
Гильдия иллюзионистов	Illusionists Guild
Гильдия инженеров	Engineering Guild
Гильдия исследователей	Explorers Guild
Гильдия каменщиков	Stonemasons Guild
Гильдия купцов	Merchants Guild
Гильдия лесников	Foresters Guild
Гильдия магов	Mages Guild
Гильдия механиков	Mechanics Guild
Гильдия монстрологов	Monstrologists Guild
Гильдия мореходов	Seafarers Guilds
Гильдия мудрецов	Sages Guild
Гильдия наёмников	Mercenary Guild
Гильдия некромантов	Necromancers Guild
Гильдия плотников	Carpenters Guild
Гильдия ремесленников	Craftsmen Guild
Гильдия следопытов	Pathfinders Guild
Гильдия строителей	Builders Guild
Гильдия судостроителей	Shipbuilders Guild
Гильдия торговцев	Traders Guild
Гильдия травников	Herbalists Guild
Гильдия трапперов	Trappers Guild
Гильдия убийц	Assassins Guild
Гильдия целителей	Healers Guild
Гильдия шахтеров	Diggers Guild
Гимн Проклятых	Anthem Of The Damned
Гир	Guir
Главарь	Ringleader
Глас мира	Word of Peace
Глас Смерти	Word of Death
Глубоководье	Waterdeep
Глухомань	Byplace
Гнёзда гарпий	Harpy Nests
Гнезда грифонов	Gryphon Nest
Гнилое всхолмье	Rotten Hillside
Гнилолесье	Rotwood
Гнилые болота	Rotten Swamps
Гнилые затоки	Rotten Sloughs
Гнолл	Gnoll
Гнолл-вожак	Gnoll-chieftain
Гнолл-сержант	Gnoll-sergeant
Гнолл-стрелок	Gnoll-archer
Гноллы	Gnolls
Гном	Dwarf
Гномий арбалет	Dwarven Crossbow
Гномий квартал	Dwarven Quarter
Гномий клан	Dwarven Clan
Гномий патруль	Dwarven Patrol
Гномий топор	Dwarven Axe
Гномий щит	Dwarven Shield
Гном-инженер	Dwarven Engineer
Гномы	Dwarves
Гномьи бороды	Dwarven beards
Гномьи рукавицы	Dwarven Gauntlets
Гномьи холмы	Dwarven Hills
Гномья артиллерия	Dwarven artillery
Гномья баллиста	Dwarven Ballista
Гномья катапульта	Dwarven Catapult
Гномья кольчуга	Dwarven Chainmail
Гномья крепость	Dwarven Stronghold
Гномья кувалда	Dwarven Maul
Гномья пушка	Dwarven Cannon
Гоблин	Goblin
Гоблинова плотина	Goblin's Dam
Гоблин-охотник	Goblin-hunter
Гоблинский квартал	Goblin Quarter
Гоблинский остров	Goblin Island
Гоблин-стрелок	Goblin-archer
Гоблин-чародей	Goblin-sorcerer
Гоблин-шаман	Goblin-shaman
Гоблины	Goblins
Говорящий-с-Духами	Spirit Talker
год	year
года	years
Голем	Golem
Големы	Golems
Голова	Head
Головорез	Cutthroat
Головорезы	Cutthroats
Голые холмы	Barren Hills
Гончарная мастерская	Pottery
Гончие Хаоса	Chaos Hounds
Гор	Gor
Гора	Mountain
Горгульи	Gargoyles
Горгулья	Gargoyle
Горнак	Gornack
Город	City
Горы/Холмы	Mountains, Hills
Горы	Mountains
Горькие холмы	Bitter Hills
Гостиный двор	Merchant Court
Грабители	Robbers
Грабитель 10	Plunderer 10
Грабитель	Plunderer
Грабить провинцию	Plunder Province
Гремящие скаты	Rambling Ramps
Гретт	Grett
Грибная опушка	Mushroom Skirts
Грибоеды	Mushroom Eaters
Грифон	Gryphon
Грифоньи стрелы	Gryphon's Arrows
Громила	Thug
Громкость звука	Sound Volume
Громкость музыки	Music Volume
Громовые степи	Thunder Steppes
Грун Батар	Groon Bathar
Гряда Дальних Дымов	Far Smokes Ridge
Грязь	Mud
Гур Кардак	Ghur Kardukk
Гуриново поле	Gurin's Grounds
Гурово нагорье	Gur's Highland
Густой туман	Thick Fog
Гыр-Зухтуб	Hyr-Xuchtubb
Гыш-Надрух	Hysh-Nadrookh
Дагалор	Dagalore
Дагор	Dagor
Даже не пытайтесь!	Don't Even Try!
Дайвардхан	Deiwardhan
Дальнобойный арбалет	Long-range Crossbow
Дальность выстрела	Range
Дан	Dan
Данные игрока	Player Info
Дардан	Daerdun
Дариол	Dariol
Дарк	Dark
Дарос	Daros
Дары Земли	Gifts of Earth
Дары Небес	Gifts of Heaven
Дашватар	Dushvatar
Двойной выстрел	Double Shot
Дворец	Palace
Двуручный меч	Two-Handed Sword
Двуручный предмет	Two-Handed Item
Дебри Ящера	Lizard Thicket
Дезинтеграция	Disintegration
Действующие ритуалы	Active Rituals
Действующие эффекты	Active Effects
Демон	Demon
Демонический клинок	Demonblade
Демонов кряж	Demon Range
Демонолог	Demonologist
Демонологи	Demonologists
Демоны	Demons
Дерево фей	Fairy Tree
Деревянный щит	Wooden Shield
Держи вора!	Stop the Thief!
Деталей Разрушителя	Destroyer Parts
Диалог	Dialog
Диверсия	Sabotage
Дивные холмы	Wondrous Hills
Дикая пустошь	Savage Wasteland
Дикие грифоны	Wild Gryphons
Дикие пегасы	Wild Pegasi
Дикий лес	Savage Wood
Дикое поле	Wild Field
Динетар	Deanethar
Динриг	Dynrigg
Дионий	Dionium
Дипломатическое сообщение	Diplomatic Message
Дипломатия	Diplomacy
Дистанционная атака	Ranged Attack
Дисциплина	Discipline
Дитя Света	Avatar of Light
Длинное копье	Long Spear
Длинный лук	Long Bow
Длинный меч	Longsword
Длинный посох	Long Staff
Длительность заклинаний	Spell Duration
до конца боя	till the end of combat
Добрый	Good
Добываемый ресурс	Harvested Resource
Добывается ресурса	Resource harvested
Добыты знания о постройках	Building Knowledge Obtained
Довольны	Content
Договор со стражем	Guard Contract
До-Гор	Doh-Gor
Дозорные	Watchmen
дол	dol
Дол-Аан	Dol-Aan
Дол-Гоар	Dol-Goar
Долина Ардарун	Ardarune Valley
Долина Бродяг	Wanderer Valley
Долина Бурь	Tempest Valley
Долина Ветров	Valley of the Winds
Долина Змей	Valley of Snakes
Долина Знамений	Valley of Signs
Долина Костров	Bonfire Valley
Долина Мечей	Valley of Swords
Долина Найдак	Nidack Valley
Долина Паломников	Pilgrims Valley
Долина Радуги	Rainbow Valley
Долина росомахи	Wolverine Valley
Долина Скарабея	Scarab Valley
Долина Скелетов	Valley of Skeletons
Долина Смерти	Valley of Death
Долина Сокола	Falcon Valley
Долина Ушедших	Valley of the Departed
Долина Хогор	Hogor Valley
Долина Цветов	Flower Valley
Долина Чаек	Seagull Valley
Долина Шохар	Shokhar Valley
Дол-Луад	Dol-Luad
Дол-Наэр	Dol-Naer
Дол-Сион	Dol-Syon
Дол-Уллун	Dol-Ullun
Дом наместника	Deputy's House
Дом старосты	Elder's House
Дом судьи	Judge's House
Доминус	Dominus
Дополнительный выстрел	Double Shot
Дор Гаррок	Dor Gurrock
дор	dor
Дораат	Doraat
Дорикус	Dorikos
Дорожный посох	Traveling Staff
Дос	Dos
Доспех Величия	Armor of Grandeur
Доспех Ветерана	Veteran's Armor
Доспех Героя	Hero's Armor
Доспех Герскила	Herskil's Armour
Доспех Доблести	Armor of Valor
Доспех Единорога	Unicorn Armor
Доспех Мантикоры	Manticore Armor
Доспех Паладина	Paladin's Armor
Доспех фельдмаршала	Marshal's Armor
Доспехи Василиска	Basilisk Armor
Достижения	Achievements
Доход золота	Gold Income
Доход кристаллов	Gem Income
Доход с мира	World Income
Доход энергии	Energy Income
Доход	Income
Дразг	Drazg
Драйдер	Drider
Драколич	Dracolich
Дракон	Dragon
Драконий амулет	Dragon Amulet
Драконий плащ	Dragon Cloak
Драконий пояс	Dragon Belt
Драконий шлем	Dragon Helmet
Драконий щит	Dragon Shield
Драконовы кручи	Dragon Banks
Драконы	Dragons
Драконье логово	Dragon's Lair
Драконье яйцо	Dragon's egg
Драконьи доспехи	Dragon Armor
Драконьи перчатки	Dragon Gloves
Драконьи сапоги	Dragon Boots
Драконья кольчуга	Dragon Chainmail
Драэглот	Draegloth
Древнее святилище	Sanctuary
Древние руины	Ancient Ruins
Древний Дракон	Ancient Dragon
Древний склеп	Ancient Crypt
Древних деталей	Ancient Parts
Древняя усыпальница	Ancient Tomb
Древочеловек	Treant
Дремучая чащоба	Primeval Thicket
Дриада	Dryad
Дриадова пуща	Dryad Thicket
Дроу (Ку'Ксорларин)	Drow (Q'Xorlarrin)
Дроу (Х'Тисет)	Drow (H'tithet)
Другие доходы	Other Income
Другой игрок	Another Player
Дружина	Retinue
Друид	Druid
Друидова пуща	Druid Thicket
Друиды	Druids
Дубина Тролля	Troll's Club
Дубки	Oaklets
Дубленая куртка	Tanned Leather Jacket
Дубовый завал	Oak Heap
Дубовый ручей	Oak Creek
Дурш-Бооз	Dursh-Bohoz
Дух драколича	Spirit of Dracolich
Духи леса	Forest Spirits
Душегуб	Soulslayer
Дуэлянт	Duelist
Дымные предгорья	Smoky Foothills
Дьявол	Devil
Дьявольский лес	Devilish Woods
Дьявольский трезубец	Devil's Trident
Егерь	Ranger
Егеря	Foresters
Единорог	Unicorn
Ёш-Калык	Yosh-Kalyk
Жабье поводье	Toad Waters
Жабьи болота	Toad Swamps
Жезл Бури	Wand of Tempest
Жезл Вечности	Wand of Ages
Жезл Власти	Wand of Power
Жезл Колдуна	Sorcerer's Wand
Жезл Мага	Mage's Wand
Жезл Молний	Wand of Lightning
Жезл Тьмы	Wand of Darkness
Жезл Чернокнижника	Warlock's Wand
Жезл Шамана	Shaman's Wand
Жезл	Wand
Железное кольцо	Iron Ring
Железные холмы	Iron Hills
Железный наруч	Iron Bracers
Железо	Iron
Желудёвый лес	Acorn Wood
Жёлудь древочеловека	Treant's Acorn
Жертвенный алтарь	Sacrificial Altar
Жертвоприношение	Sacrifice
Жёсткий ремень	Hard Belt
Живоглот	Swallower
Живой доспех	Living Armor
Живописная долина	Picturesque Valley
Животное	Animal
Жизнь	Hit Points
Жнец	Reaper
Жнецово Поселье	Reaper's Burgh
Жрец	Cleric
Журнал	Journal
Жуткий вой	Terrible Howl Spell
Жуткий трофей	Creepy Trophy
Жуть	Horror
Заболоть	Downbog
Заброшенная ферма	Abandoned Farm
Заброшенная шахта	Abandonded Mine
Заброшенные земли	Abandoned Lands
Заброшенный храм	Abandoned Temple
Забытая долина	Forgotten Valley
Заводь Водяных	Waterspirit Pool
Завоеватель Гарроса	Garros's Conquerer
Заготовка голема	Golem Ingot
Загрузка...	Loading...
Задание кристалла, враг	Crystal, destruction
Задание	Quest
Задания	Quests
Зазубренные стрелы	Jagged Arrows
Заклинание	Spell
Заклинатель	Spellcaster
Заключить мир	Make Peace
Заключить союз	Form Alliance
Заклятая пуща	Hexed Thicket
Заклятый дол	Hexvale
Заклятье Адские врата	Hellgates Spell
Заклятье Антимагия	Antimagic Spell
Заклятье Армагеддон	Armageddon Spell
Заклятье Астральная энергия	Astral Energy Spell
Заклятье Безумие	Insanity Spell
Заклятье Белая магия	White Magic Spell
Заклятье Бесстрашие	Fearless Spell
Заклятье Благодать	Grace Spell
Заклятье Благословение	Bless Spell
Заклятье Благословенный круг	Holy Circle Spell
Заклятье Божественная месть	Divine Vengeance Spell
Заклятье Божественная печать	Divine Seal Spell
Заклятье Божественный прыжок	Divine Warp Spell
Заклятье Божественный свет	Divine Light Spell
Заклятье Болезнь	Disease Spell
Заклятье Бомбардировка	Bombardment Spell
Заклятье Бронебойный выстрел	Armor Piercing Shot
Заклятье Воздушный щит	Air Shield Spell
Заклятье Волшебный кристалл	Magic Crystal Spell
Заклятье Волшебный щит	Magic Shield Spell
Заклятье Воображаемый убийца	Imaginary Assassin Spell
Заклятье Воодушевление	Inspiration Spell
Заклятье Вопль Баньши	Banshee's Howl Spell
Заклятье Воскрешение	Resurrection Spell
Заклятье Всплеск Хаоса	Chaos Splash Spell
Заклятье Встречный ветер	Head Wind Spell
Заклятье Вызвать беса	Summon Imp Spell
Заклятье Вызвать демона	Summon Demon Spell
Заклятье Вызвать Живой доспех	Summon Living Armor Spell
Заклятье Вызвать чёрта	Summon Fiend Spell
Заклятье Вызов адской гончей	Summon Hellhound Spell
Заклятье Вызов виверны	Summon Wyvern Spell
Заклятье Вызов Владыки бездны	Summon Lord of Abyss Spell
Заклятье Гейзер	Geyser Spell
Заклятье Гимн Проклятых	Anthem Of The Damned
Заклятье Глас Смерти	Voice of Death Spell
Заклятье Густой туман	Thick Fog Spell
Заклятье Двойной выстрел	Double Shot Spell
Заклятье Жертвоприношение	Sacrifice Spell
Заклятье Замедление	Slow Spell
Заклятье Заморозка	Freeze Spell
Заклятье Зарядить	Reload Spell
Заклятье Зачарованная стрела	Enchanted Arrow Spell
Заклятье Звездопад	Starfall Spell
Заклятье Землетрясение	Earthquake Spell
Заклятье Зловонное облако	Stinking Cloud Spell
Заклятье Зыбучие пески	Quicksand Spell
Заклятье Излечение нежити	Full Undead Rest Spell
Заклятье Излечение	Healing Spell
Заклятье Иммунитет к внушениям	Mind Control Immunity Spelll
Заклятье Искажение Хаоса	Chaos Distortion Spell
Заклятье Искры	Sparks Spell
Заклятье Исступление	Frenzy Spell
Заклятье Истинное воскрешение	True Resurrection Spell
Заклятье Истончение брони	Dissolve Armor Spell
Заклятье Исцеление	Restoration Spell
Заклятье Каменные шипы	Stone Spikes Spell
Заклятье Капитальный ремонт	Rebulding Spell
Заклятье Капкан	Trap Spell
Заклятье Касание вампира	Vampire Touch Spell
Заклятье Клич некроманта	Necromancer's Cry Spell
Заклятье Контроль нежити	Control Undead Spell
Заклятье Контроль разума	Mind Control Spell
Заклятье Кровавая ярость	Bloodlust Spell
Заклятье Кровь демонов	Demon Blood Spell
Заклятье Левитация	Levitation Spell
Заклятье Ледяная глыба	Ice Chunk Spell
Заклятье Ледяная змея	Ice Snake Spell
Заклятье Ледяная молния	Chilling Lightning Spell
Заклятье Ледяное сердце	Glacial Heart Spell
Заклятье Лечение	Cure Wounds Spell
Заклятье Ливень стрел	Arrow Shower Spell
Заклятье Массовое осушение	Mass Life Drain Spell
